nome,site
FESTIVAL CAMPAO CULTURAL,http://festivalcampaocultural.ms.gov.br
FESTIVAL DE INVERNO DE BONITO,http://www.festivaldeinvernodebonito.ms.gov.br
FUNDACAO DE CULTURA,http://www.fundacaodecultura.ms.gov.br
FUNDECT,http://www.fundect.ms.gov.br
FUNDESPORTE,http://www.fundesporte.ms.gov.br
FUNTRAB,http://www.funtrab.ms.gov.br
GDI,http://www.gdi.ms.gov.br
GE Saude,http://www.ge.saude.ms.gov.br
GESTÃO POR COMPETÊNCIA,http://www.gestaoporcompetencia.ms.gov.br
GTES Saude,http://www.gtes.saude.ms.gov.br
GUIA DIGITAL,http://guiadigital.ms.gov.br
HEMOSUL,http://www.hemosul.ms.gov.br
HRMS (HOSPITAL REGIONAL),http://www.hrms.ms.gov.br
IAGRO,http://www.iagro.ms.gov.br
ICMS TRANSPARENTE,http://www.icmstransparente.ms.gov.br
IMASUL,http://www.imasul.ms.gov.br
IMPRENSA OFICIAL,http://www.imprensaoficial.ms.gov.br
INDICADORES,http://www.indicadores.ms.gov.br
INFORMACOES FISCAIS,https://efazenda.servicos.ms.gov.br/informacoesfiscais
INVEST MS,http://hom.investms.ms.gov.br
IPM,https://servicos.efazenda.ms.gov.br/ipm
ITMM,https://servicos.efazenda.ms.gov.br/itmm
JUCEMS,http://www.jucems.ms.gov.br
juridico.agepan.ms.gov.br,http://juridico.agepan.ms.gov.br
JUSTIFICA LOGISTICA REVERSA - IMASUL,http://justificalr.imasul.ms.gov.br
JUSTIFICA LOGISTICA REVERSA - IMASUL,https://justificalr.imasul.ms.gov.br
LABLD-PC,http://www.labld.pc.ms.gov.br
LACEN,http://www.lacen.saude.ms.gov.br
LGPD,http://www.lgpd.ms.gov.br
MANUCA,http://manuca.semagro.ms.gov.br
MAPA CULTURAL,http://www.mapacultural.ms.gov.br
MATRICULA DIGITAL,http://www.matriculadigital.ms.gov.br
MDFE,http://www.mdfe.ms.gov.br
Media Wiki SGI/COSI,http://cosi.mediawiki.ms.gov.br
MS,https://www.ms.gov.br
MS ATIVO,http://msativo.ms.gov.br
MS CULTURAL,http://mscultural.ms.gov.br
MS Digital,http://www.msdigital.ms.gov.br
MS MINERAL,http://www.msmineral.ms.gov.br
NÃO SE CALE,http://www.naosecale.ms.gov.br
NF3e - Nota Fiscal de Energia Elétrica Eletrônica,http://www.nf3e.ms.gov.br
NFC-e,http://www.nfce.ms.gov.br
NFE,http://www.nfe.ms.gov.br
NOTA MS PREMIADA,http://notamspremiada.ms.gov.br
NOTA MS PREMIADA,http://www.notamspremiada.ms.gov.br
NOTICIAS (redirect para o MS),http://www.noticias.ms.gov.br
NOVO ENSINO MEDIO,http://novoensinomedio.ms.gov.br
NOVO ENSINO MEDIO,https://novoensinomedio.ms.gov.br
OBSERVATORIO SEAD (ANTIGA SEDHAST),http://www.observatorio.sedhast.ms.gov.br
OBSERVATORIO TURISMO,http://www.observatorioturismo.ms.gov.br
PAGINA NAO ENCONTRADA,http://www.templates.sgi.ms.gov.br/paginas-de-erro/pagina-nao-encontrada.html
PARQUE NACOES INDIGENAS,http://www.parquedasnacoesindigenas.ms.gov.br
PGE,http://www.pge.ms.gov.br
PGE-Intranet,http://www.pgeintranet.ms.gov.br
PLANEJAMENTO,http://www.planejamento.ms.gov.br
POLICIA CIVIL,http://www.pc.ms.gov.br
POLICIA COMUNITARIA,http://www.policiacomunitaria.ms.gov.br
POLICIA MILITAR,http://www.pm.ms.gov.br
PORTAL DA EDUCATIVA,http://www.portaldaeducativa.ms.gov.br
PORTAL DE SERVICOS MS,http://ms.gov.br
PORTAL DO RH,http://www.portaldorh.ms.gov.br
PROCON,http://www.procon.ms.gov.br
PROCON LEGAL,http://www.proconlegal.ms.gov.br
PROFESSOR,http://www.professor.ms.gov.br
PROFISCO,http://www.profisco.ms.gov.br
PROGRAMA DE ESTAGIO,http://programadeestagio.ms.gov.br
PROGRAMA DE ESTAGIO,https://programadeestagio.ms.gov.br
reciboconv115,http://servicos.efazenda.ms.gov.br/reciboconv115
SAD,http://www.sad.ms.gov.br
SAF SEFAZ,http://www.saf.sefaz.ms.gov.br
SAUDE,http://www.saude.ms.gov.br
SCGE,http://www.scge.ms.gov.br
SEAD,http://www.sead.ms.gov.br
SEC,http://www.sec.ms.gov.br
SED,http://www.sed.ms.gov.br
SEFAZ,http://www.sefaz.ms.gov.br
SEGOV,http://www.segov.ms.gov.br
SEGURANCA PATRIMONIAL,http://www.segurancapatrimonial.ms.gov.br
SEILOG,http://www.seilog.ms.gov.br
SEJUSP,http://www.sejusp.ms.gov.br
SEMADESC,http://www.semadesc.ms.gov.br
Servicos SEJUSP,http://servicos.sejusp.ms.gov.br
servicos.efazenda.ms.gov.br/crd/creditotributario,https://servicos.efazenda.ms.gov.br/crd/creditotributario
SERVIDOR,http://www.servidor.ms.gov.br
SETESC,http://www.setesc.ms.gov.br
SGAIT,https://servicos.efazenda.ms.gov.br/sgait
SGDE,http://www.sgde.ms.gov.br
SGI | SETDIG,http://www.sgi.ms.gov.br
SICAC,https://servicos.efazenda.ms.gov.br/sicac
SIGO,http://www.sigo.ms.gov.br
SIGO Estatistica,http://estatistica.sigo.ms.gov.br
SIP,http://www.sip.ms.gov.br
SIPEM,http://www.sipem.ms.gov.br
SIRIEMA IMASUL,http://siriema.imasul.ms.gov.br
SISLA - IMASUL,http://sisla.imasul.ms.gov.br
SISROTAS,https://servicos.efazenda.ms.gov.br/sisrotas
SISTEMAS,http://www.sistemas.ms.gov.br
SOLSERV,http://www.solserv.ms.gov.br
SOPHIA,http://sophia.sgi.ms.gov.br
SPDO,http://www.spdo.ms.gov.br
SPF,http://www.spf.ms.gov.br
SPFAZ,https://servicos.efazenda.ms.gov.br/spfaz
SPP,https://servicos.efazenda.ms.gov.br/spp
SUAS SEAD (ANTIGA SEDHAST),http://www.suas.sedhast.ms.gov.br
SUBSTITUICAO TRIBUTARIA,http://www.substituicaotributaria.ms.gov.br
SUORC,http://suorc.ms.gov.br
TAT,http://www.tat.ms.gov.br
TEMPDOC,http://www.tempdoc.ms.gov.br
TI - AGEPAN,http://ti.agepan.ms.gov.br
Tramitação PapelZero,http://tramitacao.api.papelzero.sed.ms.gov.br
TRANSPARENCIA,http://www.portaldatransparencia.ms.gov.br
TRANSPARENCIA,http://www.transparencia.ms.gov.br
TRANSPARENCIA,https://www.portaldatransparencia.ms.gov.br
TRANSPARENCIA,https://www.transparencia.ms.gov.br
TURISMO,http://www.turismo.ms.gov.br
UCQI LAYOUT,http://hom.ucqilayout1.ms.gov.br
UCQI LAYOUT,http://hom.ucqilayout2.ms.gov.br
VOCE PARTICIPA [PPA-PLANO PLURIAL ANUAL],http://voceparticipa.ms.gov.br
VS Saude,http://www.vs.saude.ms.gov.br
WEB API e-Saniagro,http://servicos.efazenda.ms.gov.br/api-esaniagro
WSPESQUISAPRECO,http://wspesquisapreco.sed.ms.gov.br
WW2 SERVIDOR,http://ww2.servidor.ms.gov.br
www.bloqtel.ms.gov.br,http://www.bloqtel.ms.gov.br
www.eveiculos.ms.gov.br,http://www.eveiculos.ms.gov.br
